Full Address,Purchase Price,Bedrooms,Bathrooms,Square Feet
"1115 Wade St, Des Moines, IA 50315",245000,4,2,1156
"1429 Martin Luther King Jr Pkwy, Des Moines, IA 50314",160000,5,2,2544
"3216 E 41st Ct, Des Moines, IA 50317",229000,4,2,825
"2540 Logan Ave, Des Moines, IA 50317",184900,4,2,1696
"4237 Grandview Ave, Des Moines, IA 50317",249900,4,2,924
"1326 33rd St, Des Moines, IA 50311",222400,5,2,1115
"299 Hackley Ave, Des Moines, IA 50315",185000,4,3,1936
"1840 Capitol Ave, Des Moines, IA 50316",215000,4,2,1399
"1655 Capitol Ave, Des Moines, IA 50316",235000,4,2,1978
"2743 Des Moines St, Des Moines, IA 50317",250000,4,2,1131
"3111 Madison Ave, Des Moines, IA 50310",239900,4,2,1389
"951 24th St, Des Moines, IA 50312",244900,4,2,1486
"3016 30th St, Des Moines, IA 50310",200000,4,2,1318
"2416 York St, Des Moines, IA 50316",185000,4,2,1496
"2305 Drake Park Ave, Des Moines, IA 50311",180000,4,2,1356
"1915 E 22nd St, Des Moines, IA 50317",199900,4,2,1248
"1434 Martin Luther King Jr Pkwy, Des Moines, IA 50314",173900,6,2,3385
"1144 35th St, Des Moines, IA 50311",214900,4,2,1527
"2126 University Ave, Des Moines, IA 50311",125000,4,2,1654
"3514 Urbandale Ave, Des Moines, IA 50310",239900,4,2,1058
"2724 College Ave, Des Moines, IA 50311",164000,4,2,1002
"1401 Cutler Ave, Des Moines, IA 50315",249000,4,2,953
"4032 E 23rd St, Des Moines, IA 50317",250000,4,2,950
"703 Taylor St, Des Moines, IA 50315",210000,5,2,1664
"1847 Virginia Cir, Des Moines, IA 50320",170000,4,2,816
"730 Guthrie Ave, Des Moines, IA 50316",210000,4,2,1593
"1534 9th St, Des Moines, IA 50314",215000,4,2,1567
"1235 5th Ave, Des Moines, IA 50314",230000,4,2,1594
"817 E Diehl Ave, Des Moines, IA 50315",249000,4,2,880
"5501 S Union St, Des Moines, IA 50315",249000,4,2,893
"2823 Holcomb Ave, Des Moines, IA 50310",179900,4,2,1272
"2007 E 40th St, Des Moines, IA 50317",248000,4,3,1115
"3253 Dubuque Ave, Des Moines, IA 50317",214900,4,2,826
"905 Shaw St, Des Moines, IA 50309",150000,4,2,1480
"335 Palomino Pkwy, Des Moines, IA 50320",250000,4,2,1184
"2420 E 37th St, Des Moines, IA 50317",219500,4,2,934
"1303 22nd St, Des Moines, IA 50311",179990,4,2,1453
"1266 E 18th St, Des Moines, IA 50316",230000,4,2,1363
"1614 Searle St, Des Moines, IA 50317",234500,4,2,1600
"4146 E Madison Ave, Des Moines, IA 50317",227900,5,2,988
"1420 9th St, Des Moines, IA 50314",179999,8,5,3178
"3111 Madison Ave, Des Moines, IA 50310",239900,4,2,1389
"1435 9th St, Des Moines, IA 50314",179999,4,2,1456
"2420 E 37th St, Des Moines, IA 50317",219500,4,2,934
"1266 E 18th St, Des Moines, IA 50316",230000,4,2,1363
"2726 E Madison Ave, Des Moines, IA 50317",227900,5,2,988
"305 Palomino Parkway, Des Moines, IA 50320",250000,4,2,1184
"1435 9th St, Des Moines, IA 50314",179999,4,2,1456
