address_1,unit_num,beds,baths,rent_estimate
1514 Harrison Ave,1,2,1,995
1514 Harrison Ave,2,2,1,995
1514 Harrison Ave,3,2,1,995
1175 21st St,1,2,1,975
1175 21st St,2,4,2,2173
1429 MLK Jr Pkwy,1,3,1,1370
1429 MLK Jr Pkwy,2,2,1,1100
1206 39th St,1,2,2,1150
1206 39th St,2,2,1,1100
401 Franklin Ave,1,2,2,1147
401 Franklin Ave,2,3,2,1395
1608 Mondamin Ave,1,2,1,1195
1608 Mondamin Ave,2,2,1,1195
1064 27th St,1,3,1,1398
1064 27th St,2,2,1,1175
518 35th St,1,0,1,740
518 35th St,2,1,1,840
518 35th St,3,2,1,1150
518 35th St,4,2,1,1150
1148 36th St,1,1,1,825
1148 36th St,2,1,1,825
1148 36th St,3,2,1,925
1148 36th St,4,2,1,925
3900 11th St,1,2,1,1125
3900 11th St,2,2,1,1125
3900 11th St,3,2,1,1125
